huc_code,precision,recall,f1_score
190503021105,0.8361117524821058,0.4066844859729117,0.5472074468085106
190503021501,0.774122322808567,0.374592659864309,0.5048781365878244
190503021300,0.9332148674663112,0.6852706322424436,0.7902508145568998
190503021507,0.9354052395156908,0.8976531123320871,0.9161404204035177
190503021109,0.8532822375951824,0.6633558293398776,0.7464269277175873
190503021510,0.8401218631853274,0.9459023845931314,0.8898796023898083
190503021209,0.9005858942114038,0.7492524031330923,0.817978521351737
190503021208,0.8250483101313247,0.3550011453976227,0.4964081695604976
190503021402,0.6970327232390461,0.4038724190568008,0.5114197059870798
190503021202,0.8542851170568562,0.4990292684713726,0.6300284421560541
190503021104,0.7643066360114642,0.6174072330844284,0.6830479970164587
190503021005,0.8455636976640176,0.6633738191632929,0.7434699094030279
190503021407,0.7105218086321078,0.4892387522849225,0.5794736290726233
190503021009,0.8485607755406414,0.5146351170447556,0.6406990754816841
190503021004,0.8868118829613378,0.5456110629037367,0.6755747322464015
